/Users/yassineelmoudene/Desktop/Devs/avocat_web/avocat/urls.py changed, reloading.
Watching for file changes with StatReloader
"POST /api/token/ HTTP/1.1" 200 628
"GET /api/fonctionclients/ HTTP/1.1" 200 84
"GET /api/typeclients/ HTTP/1.1" 200 258
"GET /api/statutaffaires/ HTTP/1.1" 200 115
"GET /api/typetribunals/ HTTP/1.1" 200 1914
"GET /api/tribunals/ HTTP/1.1" 200 79645
"GET /api/typeclients/ HTTP/1.1" 200 258
"GET /api/clients/ HTTP/1.1" 200 465
"GET /api/clients/ HTTP/1.1" 200 465
"GET /api/clients/ HTTP/1.1" 401 172
"GET /api/typeclients/ HTTP/1.1" 401 172
"GET /api/clients/ HTTP/1.1" 401 172
"GET /api/clients/ HTTP/1.1" 401 172
"GET /api/typeclients/ HTTP/1.1" 401 172
"GET /api/clients/ HTTP/1.1" 401 172
"GET /api/clients/ HTTP/1.1" 401 172
"GET /api/typeclients/ HTTP/1.1" 401 172
"GET /api/clients/ HTTP/1.1" 401 172
"GET /api/clients/ HTTP/1.1" 401 172
"GET /api/typeclients/ HTTP/1.1" 401 172
"GET /api/clients/ HTTP/1.1" 401 172
"GET /api/typeclients/ HTTP/1.1" 401 172
"GET /api/clients/ HTTP/1.1" 401 172
"GET /api/clients/ HTTP/1.1" 401 172
"GET /api/typeclients/ HTTP/1.1" 401 172
"GET /api/clients/ HTTP/1.1" 401 172
"GET /api/clients/ HTTP/1.1" 401 172
"GET /api/clients/ HTTP/1.1" 401 172
"GET /api/typeclients/ HTTP/1.1" 401 172
"GET /api/clients/ HTTP/1.1" 401 172
"POST /api/token/ HTTP/1.1" 200 628
"GET /api/typeclients/ HTTP/1.1" 200 258
"GET /api/clients/ HTTP/1.1" 200 465
"GET /api/clients/ HTTP/1.1" 200 465
"GET /api/typeaffaires/ HTTP/1.1" 200 897
"GET /api/statutaffaires/ HTTP/1.1" 200 115
"GET /api/clients/ HTTP/1.1" 200 465
"GET /api/fonctionclients/ HTTP/1.1" 200 84
"GET /api/typeclients/ HTTP/1.1" 200 258
"GET /api/affairejudiciaires/ HTTP/1.1" 200 668
"GET /api/affaires/1/progression/ HTTP/1.1" 200 68
"GET /api/affaires/1/etape-actuelle/ HTTP/1.1" 200 94
/Users/yassineelmoudene/Desktop/Devs/avocat_web/avocat/wsgi.py changed, reloading.
Watching for file changes with StatReloader
